feature,count,feature_category
action-pair:ui-toolbar-format-paragraph->ui-cut-copy-paragraph,35,action-pair
action-pair:ui-cut-copy-paragraph->ui-table-cell-edit,38,action-pair
action-pair:ui-table-cell-edit->ui-undo-redo-paragraph,38,action-pair
history-label:action:ui-toolbar-format-paragraph:ok,246,history
history-label:action:ui-cut-copy-paragraph:invoke,39,history
history-label:action:ui-cut-copy-paragraph:ok,39,history
operation-event-action:witnessed:ui-toolbar-format-paragraph:content,245,operation-ledger
operation-event-action:witnessed:ui-cut-copy-paragraph:content,39,operation-ledger
block-depth:core/list:3,17,block-depth
block-depth:core/list-item:4,17,block-depth
payload-size-profile:revision-persistence:12,1,payload-size
operation-ledger-missing:3,13,operation-ledger
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph,11,real-user
payload-size-profile:multi-reload-lifecycle:10,6,payload-size
total-blocks:38,4,other
step-count:28,25,step-count
action-pair:delete-nested-block->insert-async-server-block,21,action-pair
fault:fail:403,16,fault
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent>ui-composition-paragraph>ui-toolbar-format-paragraph>ui-cut-copy-paragraph,29,real-user
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent>ui-composition-paragraph>ui-toolbar-format-paragraph>reload-post-action,4,real-user
action-pair:ui-toolbar-format-paragraph->reload-post-action,5,action-pair
action-pair:reload-post-action->ui-cut-copy-paragraph,5,action-pair
action-pair:edit-paragraph->insert-async-server-block,19,action-pair
action-pair:edit-table-array-attributes->move-block-into-group,17,action-pair
fault:fail:401,23,fault
payload-size-profile:permissions-auth-locks:12,12,payload-size
action-pair:insert-heading->late-join-post-action,1,action-pair
action-pair:late-join-post-action->insert-heading,6,action-pair
action-pair:concurrent-paragraphs->delete-nested-block,14,action-pair
total-blocks:40,3,other
payload-size-profile:three-user-late-join:12,9,payload-size
history-label:action:ui-link-paragraph:fail,12,history
action-pair:insert-nested-group->insert-heading,18,action-pair
action-pair:insert-async-server-block->concurrent-paragraphs,20,action-pair
action-pair:edit-nested-paragraph->insert-nested-group,19,action-pair
payload-size-profile:permissions-auth-locks:10,8,payload-size
action-pair:move-block-into-group->late-join-post-action,2,action-pair
action-pair:late-join-post-action->delete-nested-block,3,action-pair
payload-size-profile:three-user-late-join:11,12,payload-size
payload-size-profile:real-user-editing:12,7,payload-size
cdp:fb37d9300b049ad7,1,code coverage
total-blocks:39,9,other
block-depth:core/search:1,9,block-depth
action-pair:append-paragraph->late-join-post-action,29,action-pair
action-pair:late-join-post-action->insert-paragraph,5,action-pair
action-pair:delete-nested-block->insert-nested-group,12,action-pair
action-pair:edit-table-array-attributes->insert-nested-group,24,action-pair
initial:large-document-150,36,initial-content
action-pair:insert-paragraph->delete-nested-block,6,action-pair
action-pair:insert-paragraph->edit-nested-paragraph,18,action-pair
real-user-action-sequence:ui-type-paragraph,3,real-user
cdp:6afd9f4a3dafbd33,1,code coverage
action-pair:insert-async-server-block->edit-paragraph,14,action-pair
action-pair:delete-block->move-block-into-group,7,action-pair
action-pair:move-block-into-group->delete-nested-block,11,action-pair
total-blocks:101,1,other
cdp:c4f9ca05db473bf2,1,code coverage
total-blocks:44,2,other
operation-event-action:missing:ui-link-paragraph:content,2,operation-ledger
operation-missing:ui-link-paragraph:content,2,operation-ledger
action-pair:insert-nested-group->edit-table-array-attributes,15,action-pair
action-pair:insert-async-server-block->edit-nested-paragraph,8,action-pair
action-pair:move-block->edit-nested-paragraph,20,action-pair
payload-size-profile:session-lifecycle:12,16,payload-size
real-user-action-sequence:insert-nested-group>late-join-post-action>ui-list-indent>ui-paste-paragraph>ui-undo-redo-paragraph,2,real-user
action-pair:insert-nested-group->late-join-post-action,5,action-pair
action-pair:late-join-post-action->ui-list-indent,4,action-pair
action-pair:ui-list-indent->ui-paste-paragraph,4,action-pair
action-pair:ui-paste-paragraph->ui-undo-redo-paragraph,2,action-pair
cdp:b33a3e1aae0f6d30,1,code coverage
cdp:143676903b50d7ef,1,code coverage
history:final-persistence-oracle:fail,1,history
invariant:final-persistence-canonical-content:fail,1,invariant
invariant-signal:final-persistence-canonical-content,1,invariant
cdp:b5b1a811cd87f07d,1,code coverage
total-blocks:51,1,other
payload-size-profile:async-server-blocks:13,2,payload-size
payload-size-transport:ws:13,2,payload-size
action-pair:delete-nested-block->concurrent-paragraphs,8,action-pair
action-pair:ui-cut-copy-paragraph->reload-post-action,1,action-pair
action-pair:reload-post-action->ui-table-cell-edit,1,action-pair
real-user-action-sequence:ui-link-paragraph,2,real-user
real-user-action-sequence:ui-type-title>late-join-post-action>ui-paste-paragraph>ui-table-cell-edit>ui-undo-redo-paragraph,2,real-user
action-pair:ui-type-title->late-join-post-action,3,action-pair
action-pair:late-join-post-action->ui-paste-paragraph,2,action-pair
action-pair:ui-paste-paragraph->ui-table-cell-edit,2,action-pair
block-depth:core/categories:1,1,block-depth
users:12,22,users
initial:large-document-25,15,initial-content
action-pair:move-block->late-join-post-action,3,action-pair
action-pair:late-join-post-action->move-block,2,action-pair
action-pair:edit-table-array-attributes->assert-remote-cursor,1,action-pair
action-pair:assert-remote-cursor->concurrent-paragraphs,1,action-pair
action-pair:concurrent-paragraphs->assert-selection-cursor,1,action-pair
lifecycle:late-join:users-12,22,lifecycle
lifecycle:late-join-post-action:users-12,22,lifecycle
lifecycle:lifecycle-reload:users-12,16,lifecycle
history:remote-selection-cursor:ok,1,history
history-label:action:assert-remote-cursor:ok,1,history
total-blocks:56,1,other
payload-size-profile:many-user-lifecycle:12,14,payload-size
operation-event-action:missing:ui-toolbar-format-paragraph:content,5,operation-ledger
operation-missing:ui-toolbar-format-paragraph:content,5,operation-ledger
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent>ui-composition-paragraph>ui-toolbar-format-paragraph,101,real-user
action-pair:edit-title->edit-title,5,action-pair
total-blocks:45,2,other
real-user-action-sequence:concurrent-paragraphs>late-join-post-action>ui-type-title>append-paragraph>concurrent-paragraphs>ui-undo-redo-paragraph,2,real-user
action-pair:concurrent-paragraphs->late-join-post-action,6,action-pair
action-pair:concurrent-paragraphs->ui-undo-redo-paragraph,2,action-pair
real-user-action-sequence:append-paragraph>late-join-post-action>insert-heading>ui-paste-paragraph>ui-type-paragraph>ui-paste-paragraph,3,real-user
action-pair:insert-heading->ui-paste-paragraph,3,action-pair
action-pair:ui-paste-paragraph->ui-type-paragraph,7,action-pair
action-pair:ui-type-paragraph->ui-paste-paragraph,5,action-pair
action-pair:ui-paste-paragraph->ui-toolbar-format-paragraph,3,action-pair
action-pair:ui-toolbar-format-paragraph->ui-type-paragraph,3,action-pair
action-pair:ui-type-paragraph->ui-undo-redo-paragraph,4,action-pair
cdp:ff5ebf41195a6f46,1,code coverage
total-blocks:35,5,other
cdp:68dfb03ad95f5bb2,1,code coverage
action-pair:ui-undo-redo-paragraph->ui-paste-paragraph,1,action-pair
cdp:2e52d020e6a09098,1,code coverage
total-blocks:42,2,other
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent>reload-post-action>ui-composition-paragraph>ui-toolbar-format-paragraph,1,real-user
action-pair:ui-list-indent->reload-post-action,1,action-pair
action-pair:reload-post-action->ui-composition-paragraph,1,action-pair
action-pair:ui-table-cell-edit->reload-post-action,2,action-pair
payload-size-profile:collaboration-ui-signals:11,2,payload-size
action-pair:insert-heading->assert-selection-cursor,2,action-pair
total-blocks:50,2,other
real-user-action-sequence:ui-link-paragraph>late-join-post-action>edit-table-array-attributes>ui-toolbar-format-paragraph>move-block>ui-type-paragraph,4,real-user
action-pair:ui-link-paragraph->late-join-post-action,4,action-pair
action-pair:late-join-post-action->edit-table-array-attributes,4,action-pair
action-pair:edit-table-array-attributes->ui-toolbar-format-paragraph,4,action-pair
action-pair:ui-toolbar-format-paragraph->move-block,4,action-pair
action-pair:move-block->ui-type-paragraph,37,action-pair
action-pair:ui-type-paragraph->append-paragraph,4,action-pair
action-pair:move-block->ui-list-indent,3,action-pair
action-pair:ui-list-indent->ui-list-indent,3,action-pair
action-pair:ui-list-indent->ui-undo-redo-paragraph,3,action-pair
cdp:5bdcd86a33d9d980,1,code coverage
cdp:40ac120813cbbe93,1,code coverage
cdp:3f2babd17fd508eb,1,code coverage
action-pair:late-join-post-action->assert-selection-cursor,7,action-pair
history-label:action:ui-type-paragraph:fail,1,history
cdp:94917aacbdd1701b,1,code coverage
invariant:fuzz-semantic-shape-witness:ok,98,invariant
invariant:save-checkpoint-marker-topology:ok,196,invariant
invariant:save-boundary-crdt-marker-projection:ok,196,invariant
step-count:1,98,step-count
real-user-action-sequence:ui-toolbar-format-paragraph,98,real-user
payload-size-profile:real-user-editing:9,99,payload-size
operation-event-action:missing:append-paragraph:content,2,operation-ledger
operation-missing:append-paragraph:content,2,operation-ledger
real-user-action-sequence:ui-type-paragraph>late-join-post-action>ui-list-indent>insert-nested-group>insert-nested-group>ui-paste-paragraph,1,real-user
action-pair:ui-list-indent->insert-nested-group,1,action-pair
action-pair:insert-nested-group->ui-paste-paragraph,2,action-pair
action-pair:ui-type-title->ui-link-paragraph,2,action-pair
real-user-action-sequence:ui-paste-paragraph>late-join-post-action>ui-type-title>ui-link-paragraph>edit-table-array-attributes>edit-table-array-attributes,1,real-user
action-pair:ui-paste-paragraph->late-join-post-action,3,action-pair
action-pair:ui-link-paragraph->edit-table-array-attributes,1,action-pair
action-pair:edit-table-array-attributes->ui-type-paragraph,21,action-pair
action-pair:ui-type-paragraph->ui-type-paragraph,1,action-pair
action-pair:ui-type-paragraph->move-block,1,action-pair
action-pair:move-block->ui-type-title,2,action-pair
action-pair:ui-list-indent->ui-type-paragraph,2,action-pair
action-pair:ui-type-paragraph->ui-link-paragraph,2,action-pair
action-pair:ui-link-paragraph->append-paragraph,1,action-pair
action-pair:edit-table-array-attributes->late-join-post-action,3,action-pair
total-blocks:48,1,other
real-user-action-sequence:ui-type-title>late-join-post-action>ui-list-indent>ui-paste-paragraph>ui-link-paragraph>move-block,1,real-user
action-pair:ui-link-paragraph->move-block,1,action-pair
action-pair:move-block->ui-table-cell-edit,2,action-pair
action-pair:ui-table-cell-edit->edit-table-array-attributes,1,action-pair
real-user-action-sequence:ui-type-paragraph>late-join-post-action>insert-async-server-block,1,real-user
action-pair:late-join-post-action->insert-async-server-block,3,action-pair
real-user-action-sequence:ui-paste-paragraph>late-join-post-action>insert-nested-group>move-block>move-block>ui-link-paragraph,1,real-user
action-pair:late-join-post-action->insert-nested-group,2,action-pair
action-pair:move-block->ui-link-paragraph,2,action-pair
payload-size-profile:multi-reload-lifecycle:12,6,payload-size
payload-size-profile:multi-reload-lifecycle:11,8,payload-size
action-pair:insert-common-block->reparse-edited-content,5,action-pair
action-pair:edit-nested-paragraph->assert-presence-list,5,action-pair
action-pair:assert-presence-list->append-parser-stress-content,5,action-pair
action-pair:append-parser-stress-content->assert-presence-list,5,action-pair
payload-size-profile:parser-serialization:12,5,payload-size
cdp:d865ab6d21f22120,1,code coverage
action-pair:insert-block-gauntlet-block->assert-remote-cursor,2,action-pair
payload-size-profile:parser-serialization:10,2,payload-size
cdp:02fa5a5f325dfeb0,1,code coverage
operation-event-action:missing:concurrent-paragraphs:content,1,operation-ledger
operation-missing:concurrent-paragraphs:content,1,operation-ledger
real-user-action-sequence:ui-type-paragraph>late-join-post-action>ui-table-cell-edit>ui-list-indent>ui-paste-paragraph>ui-type-paragraph,1,real-user
action-pair:late-join-post-action->ui-table-cell-edit,2,action-pair
action-pair:ui-table-cell-edit->ui-list-indent,2,action-pair
action-pair:ui-link-paragraph->ui-type-title,1,action-pair
action-pair:ui-type-title->move-block,1,action-pair
action-pair:ui-link-paragraph->ui-link-paragraph,1,action-pair
action-pair:ui-link-paragraph->ui-undo-redo-paragraph,2,action-pair
real-user-action-sequence:insert-nested-group>late-join-post-action>ui-table-cell-edit>ui-list-indent>move-block-into-group>move-block,1,real-user
action-pair:ui-list-indent->move-block-into-group,1,action-pair
action-pair:insert-async-server-block->ui-list-indent,1,action-pair
action-pair:ui-type-paragraph->move-block-into-group,1,action-pair
action-pair:ui-paste-paragraph->concurrent-paragraphs,3,action-pair
action-pair:concurrent-paragraphs->ui-type-title,1,action-pair
action-pair:ui-type-title->insert-async-server-block,1,action-pair
action-pair:ui-table-cell-edit->insert-heading,2,action-pair
action-pair:insert-async-server-block->ui-toolbar-format-paragraph,1,action-pair
cdp:508479152ae72365,1,code coverage
cdp:1716501ae5f52996,1,code coverage
action-pair:assert-presence-list->edit-block-gauntlet-attributes,2,action-pair
cdp:52d00ba10907ea6d,1,code coverage
payload-size-profile:many-user-lifecycle:9,1,payload-size
action-pair:insert-paragraph->late-join-post-action,5,action-pair
action-pair:late-join-post-action->edit-paragraph,23,action-pair
action-pair:delete-nested-block->late-join-post-action,1,action-pair
action-pair:insert-async-server-block->late-join-post-action,2,action-pair
real-user-action-sequence:move-block>late-join-post-action>ui-type-title>edit-table-array-attributes>insert-nested-group>append-paragraph,1,real-user
action-pair:ui-type-title->edit-table-array-attributes,1,action-pair
action-pair:move-block->ui-undo-redo-paragraph,1,action-pair
real-user-action-sequence:ui-paste-paragraph,2,real-user
real-user-action-sequence:ui-paste-paragraph>late-join-post-action>concurrent-paragraphs>ui-table-cell-edit>insert-heading>ui-table-cell-edit,1,real-user
action-pair:late-join-post-action->concurrent-paragraphs,1,action-pair
action-pair:concurrent-paragraphs->ui-table-cell-edit,1,action-pair
action-pair:insert-heading->ui-table-cell-edit,1,action-pair
action-pair:ui-table-cell-edit->move-block-into-group,1,action-pair
action-pair:concurrent-paragraphs->ui-list-indent,1,action-pair
action-pair:ui-list-indent->ui-link-paragraph,1,action-pair
cdp:3e5262294ec36cd8,1,code coverage
cdp:bb93818b8b2cdccb,1,code coverage
cdp:aefd849b4f7dab3d,1,code coverage
cdp:82cb0011a44fc1a2,1,code coverage
action-pair:late-join-post-action->move-block-into-group,5,action-pair
payload-size-profile:three-user-late-join:10,4,payload-size
history-label:action:ui-paste-paragraph:fail,1,history
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent,1,real-user
real-user-action-sequence:append-paragraph>late-join-post-action>ui-type-title>ui-paste-paragraph>insert-heading>ui-toolbar-format-paragraph,2,real-user
action-pair:ui-type-title->ui-paste-paragraph,2,action-pair
action-pair:ui-paste-paragraph->insert-heading,2,action-pair
action-pair:insert-heading->ui-toolbar-format-paragraph,2,action-pair
action-pair:ui-toolbar-format-paragraph->move-block-into-group,2,action-pair
action-pair:move-block->ui-paste-paragraph,2,action-pair
action-pair:ui-type-title->ui-type-paragraph,1,action-pair
action-pair:ui-type-paragraph->edit-table-array-attributes,1,action-pair
cdp:a312a45d54d89f5c,1,code coverage
action-pair:ui-undo-redo-paragraph->late-join-post-action,3,action-pair
action-pair:late-join-post-action->ui-format-paragraph,4,action-pair
action-pair:ui-format-paragraph->assert-selection-cursor,3,action-pair
cdp:107e321396edecf2,1,code coverage
action-pair:ui-format-paragraph->ui-type-paragraph,1,action-pair
action-pair:ui-type-paragraph->assert-presence-list,1,action-pair
cdp:d698e834fd7df86b,1,code coverage
total-blocks:53,1,other
action-pair:delete-block->late-join-post-action,1,action-pair
cdp:e37df0d25429064b,1,code coverage
cdp:da242c4977ed4a36,1,code coverage
cdp:90d5c80af84285a4,1,code coverage
cdp:04d9c5b1d02d8f96,1,code coverage
users:30,4,users
lifecycle:late-join:users-30,4,lifecycle
lifecycle:late-join-post-action:users-30,4,lifecycle
lifecycle:lifecycle-reload:users-30,3,lifecycle
payload-size-profile:many-user-lifecycle:11,18,payload-size
cdp:0f68e5bc7d50a264,1,code coverage
action-pair:reparse-edited-content->reparse-edited-content,1,action-pair
payload-size-profile:parser-transform:12,2,payload-size
cdp:f13b5d4257d10e32,1,code coverage
payload-size-profile:parser-transform:11,1,payload-size
cdp:12a1482e4375143e,1,code coverage
action-pair:append-parser-stress-content->append-parser-stress-content,1,action-pair
cdp:984a22cbf0032c1b,1,code coverage
payload-size-profile:many-user-lifecycle:10,3,payload-size
real-user-action-sequence:ui-type-paragraph>late-join-post-action>ui-type-title>append-paragraph>insert-heading>move-block,33,real-user
cdp:630924e7d11918e7,1,code coverage
cdp:abd28acf8b463791,1,code coverage
cdp:4bf71fc294d9c5b9,1,code coverage
action-pair:move-block->reparse-edited-content,1,action-pair
payload-size-profile:parser-transform:10,1,payload-size
cdp:16e0a2ec6487504b,1,code coverage
payload-size-profile:parser-transform:9,1,payload-size
cdp:ae9f4471f9bdb619,1,code coverage
cdp:84dcaf61ba26665e,1,code coverage
cdp:fd2262f36f6979c5,1,code coverage
cdp:24fbac34499adf36,1,code coverage
cdp:114f10239cdc0391,1,code coverage
cdp:ac7b41264c351430,1,code coverage
cdp:715d146602511482,1,code coverage
cdp:c4ba0f4e08c747f4,1,code coverage
cdp:bcf3d6b55db11ae8,1,code coverage
cdp:8afa08028b62b0aa,1,code coverage
cdp:2c2c16c0f229a40a,1,code coverage
cdp:8f29b3b17d6d492c,1,code coverage
cdp:87c5746543277271,1,code coverage
cdp:51423e8da950f3ae,1,code coverage
cdp:9e1520fba90a663f,1,code coverage
cdp:7abde0b99932713d,1,code coverage
cdp:86042a0c25919cba,1,code coverage
action-pair:edit-formatted-paragraph-at-cursor->assert-remote-cursor,1,action-pair
payload-size-profile:parser-serialization:9,1,payload-size
cdp:202c51e35969d69a,1,code coverage
cdp:991b180ef8c52e1a,1,code coverage
cdp:afbea28854d3fdd3,1,code coverage
cdp:27e8d4346b1adb1e,1,code coverage
cdp:7dfc65a7ff7b2cf4,1,code coverage
cdp:d6ddb2fd355d9601,1,code coverage
cdp:08a0d4686fa916d5,1,code coverage
cdp:108e0a8cce4aa040,1,code coverage
cdp:8a7e004eaf211ff1,1,code coverage
cdp:35d5a1f33be37658,1,code coverage
cdp:6db99b8523dfec5c,1,code coverage
cdp:9f1f9b97a44d1036,1,code coverage
cdp:532ffd8191e97a29,1,code coverage
cdp:51c0facd2f469ea1,1,code coverage
cdp:774fbc3770496e94,1,code coverage
cdp:45cd1195d5cf07ea,1,code coverage
cdp:9519defcc48efec6,1,code coverage
cdp:d6726d76742891dc,1,code coverage
cdp:129dbfb05613f646,1,code coverage
cdp:ee42c6d6edc35295,1,code coverage
cdp:da67ef353e003b78,1,code coverage
cdp:cba88c530776e421,1,code coverage
cdp:3b46d973fb01da3f,1,code coverage
cdp:b292255a0266fb42,1,code coverage
cdp:b2c74bae335bde23,1,code coverage
cdp:de4f22e538621ab7,1,code coverage
cdp:f31cf2ea299369a9,1,code coverage
cdp:7cfb9bcf6ebf1a85,1,code coverage
cdp:996e2c717244f820,1,code coverage
cdp:55cfd5cd3f147364,1,code coverage
cdp:bd4706c762183157,1,code coverage
cdp:f7a17a6589ef9775,1,code coverage
cdp:a7c52942680b571a,1,code coverage
cdp:51f5d693b7bdffef,1,code coverage
cdp:89e455d0e5179a60,1,code coverage
cdp:40c0bef0b56320a1,1,code coverage
cdp:9687de98531474b9,1,code coverage
cdp:2d8223ca85a17908,1,code coverage
real-user-action-sequence:ui-type-paragraph>late-join-post-action>ui-type-title>append-paragraph,1,real-user
total-blocks:103,1,other
cdp:b2bf18f28243de5f,1,code coverage
cdp:712aa33412252e1c,1,code coverage
cdp:3caf913777e93395,1,code coverage
cdp:12f1dead2fbc08ed,1,code coverage
cdp:8cf11610ea90be2b,1,code coverage
cdp:68e5d2832a6c6db8,1,code coverage
cdp:215b79fc994621c1,1,code coverage
cdp:12792f01c09db0d2,1,code coverage
cdp:9ca6f176cf71a88b,1,code coverage
cdp:82e9800452fc386a,1,code coverage
cdp:eec91a530461c7eb,1,code coverage
cdp:cf0623e7d0ab9ea1,1,code coverage
cdp:0f0fce8accba9354,1,code coverage
cdp:2f214f45df21a948,1,code coverage
cdp:a16d15826fc7fc46,1,code coverage
payload-size-profile:session-lifecycle:8,1,payload-size
cdp:d5c28c43fd186358,1,code coverage
cdp:5b8bedd67afa43d6,1,code coverage
cdp:37bcfeb6213f043e,1,code coverage
cdp:1e029043ef3afeaa,1,code coverage
cdp:548b397056961413,1,code coverage
cdp:9544a8ab9ea34827,1,code coverage
cdp:aca472c921f88ac7,1,code coverage
cdp:3968982f75da1f4c,1,code coverage
cdp:06c48473ccbac77e,1,code coverage
cdp:ce7b3566d9584694,1,code coverage
cdp:d163de8f62b12f28,1,code coverage
cdp:d2475a2f07da0a78,1,code coverage
cdp:89dcabe5787d217d,1,code coverage
cdp:611bb4f2e8154abe,1,code coverage
cdp:52247ed25795e591,1,code coverage
cdp:cef71ffd6a8fe552,1,code coverage
cdp:6d0f25bb48803931,1,code coverage
cdp:060881b5420f48d8,1,code coverage
cdp:09faa17d91adcb5f,1,code coverage
cdp:a0d7caa43ae8db5a,1,code coverage
cdp:a2989f07d15cb88d,1,code coverage
cdp:d9332821b703b1ce,1,code coverage
cdp:fc3b5affff97b2b4,1,code coverage
cdp:001bf053fd8f78b2,1,code coverage
cdp:49ae00663d70b47e,1,code coverage
cdp:7122ca57656baade,1,code coverage
action-pair:edit-nested-paragraph->late-join-post-action,1,action-pair
action-pair:edit-paragraph->late-join-post-action,1,action-pair
action-pair:late-join-post-action->delete-block,1,action-pair
real-user-action-sequence:ui-paste-paragraph>ui-link-paragraph>ui-list-indent>ui-composition-paragraph,1,real-user
